time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/learning_rate,train/loss,train/std
1,905216,96,21,1000.0,534.46167144,,,,,,,,,,,
2,907264,80,50,1000.0,522.3561212200001,0.9093359708786011,-4.087589854001999,0.03718907,0.2,4420,-0.0038270357355941085,1.3456012683920562,0.38515625,0.0003,0.07666212320327759,1.0030592679977417
3,909312,78,78,1000.0,518.1436610100001,0.9192182421684265,-4.070740619301796,0.041528456,0.2,4430,-0.006513100226584356,1.2684231800492853,0.33974609375,0.0003,0.12275727838277817,1.0036778450012207
4,911360,76,107,1000.0,507.18981914000005,0.9313388466835022,-4.063142386078835,0.053646326,0.2,4440,0.000700565375154838,1.4363875319249928,0.364111328125,0.0003,0.25329387187957764,1.00223708152771
5,913408,77,132,1000.0,497.18973207000005,0.9190614819526672,-4.054939123988151,0.058454774,0.2,4450,0.004385956664918922,1.3181792649440467,0.37646484375,0.0003,0.21269549429416656,0.9992203116416931
6,915456,78,156,1000.0,491.05739371999994,0.934252142906189,-4.03211809694767,0.035875484,0.2,4460,0.008113148060510866,1.2409318039659412,0.36123046875,0.0003,0.11729501932859421,0.9891301989555359
7,917504,78,182,1000.0,488.13706362,0.9429571032524109,-4.012285141646862,0.047033936,0.2,4470,0.004327033058507368,1.1485567127820104,0.3587890625,0.0003,0.22702284157276154,0.9892908930778503
8,919552,77,212,1000.0,485.9407759,0.9077757596969604,-4.00861174762249,0.06577093,0.2,4480,0.006103461592283565,1.6576175126247108,0.433935546875,0.0003,0.29215317964553833,0.992989718914032
9,921600,77,239,1000.0,482.28627483,0.9058021306991577,-4.003998720645905,0.03333857,0.2,4490,-0.001307222068135161,1.6489522511139512,0.32353515625,0.0003,0.3484525680541992,0.9864904880523682
10,923648,77,264,1000.0,475.55080124000017,0.9249914288520813,-3.9741913832724096,0.046943262,0.2,4500,-0.004094186404836364,1.283590299077332,0.37724609375,0.0003,0.2654499411582947,0.9735684394836426
11,925696,77,289,1000.0,470.9265942900001,0.9585986733436584,-3.9505439028143883,0.041696098,0.2,4510,-0.008908592915395275,0.9929389448370785,0.3212890625,0.0003,0.13521035015583038,0.9703821539878845
12,927744,78,314,1000.0,456.83728730000007,0.9600564241409302,-3.9318360589444636,0.045903966,0.2,4520,-0.01628926904522814,0.890138459065929,0.336572265625,0.0003,0.10273798555135727,0.9632883071899414
13,929792,77,343,1000.0,446.25069891,0.9434269070625305,-3.9057314828038217,0.049170155,0.2,4530,-0.0037980820459779354,0.9247267058119177,0.392919921875,0.0003,0.19591622054576874,0.956266462802887
